Productos;CAcopios;Clientes;Tiempo;CostoTransAcopioClie
Queso duro;Chinu;Monteria;5;218
Queso duro;Chinu;Monteria;6;218
Queso duro;Chinu;Monteria;7;218
Queso duro;Chinu;Monteria;8;218
Queso duro;Chinu;Monteria;9;218
Queso duro;Chinu;Monteria;10;218
Queso duro;Chinu;Monteria;11;218
Queso duro;Chinu;Monteria;12;218
Queso duro;Chinu;Barranquilla;1;462
Queso duro;Chinu;Barranquilla;2;462
Queso duro;Chinu;Barranquilla;3;462
Queso duro;Chinu;Barranquilla;4;462
Queso duro;Chinu;Barranquilla;5;462
Queso duro;Chinu;Barranquilla;6;462
Queso duro;Chinu;Barranquilla;7;462
Queso duro;Chinu;Barranquilla;8;462
Queso duro;Chinu;Barranquilla;9;462
Queso duro;Chinu;Barranquilla;10;462
Queso duro;Chinu;Barranquilla;11;462
Queso duro;Chinu;Barranquilla;12;462
Queso duro;Chinu;Bogotá;1;1380
Queso duro;Chinu;Bogotá;2;1380
Queso duro;Chinu;Bogotá;3;1380
Queso duro;Chinu;Bogotá;4;1380
Queso duro;Chinu;Bogotá;5;1380
Queso duro;Chinu;Bogotá;6;1380
Queso duro;Chinu;Bogotá;7;1380
Queso duro;Chinu;Bogotá;8;1380
Queso duro;Chinu;Bogotá;9;1380
Queso duro;Chinu;Bogotá;10;1380
Queso duro;Chinu;Bogotá;11;1380
Queso duro;Chinu;Bogotá;12;1380
Queso duro;Chinu;Bucaramanga;1;918
Queso duro;Chinu;Bucaramanga;2;918
Queso duro;Chinu;Bucaramanga;3;918
Queso duro;Chinu;Bucaramanga;4;918
Queso duro;Chinu;Bucaramanga;5;918
Queso duro;Chinu;Bucaramanga;6;918
Queso duro;Chinu;Bucaramanga;7;918
Queso duro;Chinu;Bucaramanga;8;918
Queso duro;Chinu;Bucaramanga;9;918
Queso duro;Chinu;Bucaramanga;10;918
Queso duro;Chinu;Bucaramanga;11;918
Queso duro;Chinu;Bucaramanga;12;918
Queso duro;Chinu;Cartagena;1;346
Queso duro;Chinu;Cartagena;2;346
Queso duro;Chinu;Cartagena;3;346
Queso duro;Chinu;Cartagena;4;346
Queso duro;Chinu;Cartagena;5;346
Queso duro;Chinu;Cartagena;6;346
Queso duro;Chinu;Cartagena;7;346
Queso duro;Chinu;Cartagena;8;346
Queso duro;Chinu;Cartagena;9;346
Queso duro;Chinu;Cartagena;10;346
Queso duro;Chinu;Cartagena;11;346
Queso duro;Chinu;Cartagena;12;346
Queso duro;Chinu;Cali;1;1485
Queso duro;Chinu;Cali;2;1485
Queso duro;Chinu;Cali;3;1485
Queso duro;Chinu;Cali;4;1485
Queso duro;Chinu;Cali;5;1485
Queso duro;Chinu;Cali;6;1485
Queso duro;Chinu;Cali;7;1485
Queso duro;Chinu;Cali;8;1485
Queso duro;Chinu;Cali;9;1485
Queso duro;Chinu;Cali;10;1485
Queso duro;Chinu;Cali;11;1485
Queso duro;Chinu;Cali;12;1485
Queso duro;Chinu;Cúcuta;1;1076
Queso duro;Chinu;Cúcuta;2;1076
Queso duro;Chinu;Cúcuta;3;1076
Queso duro;Chinu;Cúcuta;4;1076
Queso duro;Chinu;Cúcuta;5;1076
Queso duro;Chinu;Cúcuta;6;1076
Queso duro;Chinu;Cúcuta;7;1076
Queso duro;Chinu;Cúcuta;8;1076
Queso duro;Chinu;Cúcuta;9;1076
Queso duro;Chinu;Cúcuta;10;1076
Queso duro;Chinu;Cúcuta;11;1076
Queso duro;Chinu;Cúcuta;12;1076
Queso duro;Chinu;Medellín;1;775
Queso duro;Chinu;Medellín;2;775
Queso duro;Chinu;Medellín;3;775
Queso duro;Chinu;Medellín;4;775
Queso duro;Chinu;Medellín;5;775
Queso duro;Chinu;Medellín;6;775
Queso duro;Chinu;Medellín;7;775
Queso duro;Chinu;Medellín;8;775
Queso duro;Chinu;Medellín;9;775
Queso duro;Chinu;Medellín;10;775
Queso duro;Chinu;Medellín;11;775
Queso duro;Chinu;Medellín;12;775
Queso duro;Chinu;Valledupar;1;717
Queso duro;Chinu;Valledupar;2;717
Queso duro;Chinu;Valledupar;3;717
Queso duro;Chinu;Valledupar;4;717
Queso duro;Chinu;Valledupar;5;717
Queso duro;Chinu;Valledupar;6;717
Queso duro;Chinu;Valledupar;7;717
Queso duro;Chinu;Valledupar;8;717
Queso duro;Chinu;Valledupar;9;717
Queso duro;Chinu;Valledupar;10;717
Queso duro;Chinu;Valledupar;11;717
Queso duro;Chinu;Valledupar;12;717
Queso duro;Planeta rica;Santa Marta;1;771
Queso duro;Planeta rica;Santa Marta;2;771
Queso duro;Planeta rica;Santa Marta;3;771
Queso duro;Planeta rica;Santa Marta;4;771
Queso duro;Planeta rica;Santa Marta;5;771
Queso duro;Planeta rica;Santa Marta;6;771
Queso duro;Planeta rica;Santa Marta;7;771
Queso duro;Planeta rica;Santa Marta;8;771
Queso duro;Planeta rica;Santa Marta;9;771
Queso duro;Planeta rica;Santa Marta;10;771
Queso duro;Planeta rica;Santa Marta;11;771
Queso duro;Planeta rica;Santa Marta;12;771
Queso duro;Planeta rica;Riohacha;1;1058
Queso duro;Planeta rica;Riohacha;2;1058
Queso duro;Planeta rica;Riohacha;3;1058
Queso duro;Planeta rica;Riohacha;4;1058
Queso duro;Planeta rica;Riohacha;5;1058
Queso duro;Planeta rica;Riohacha;6;1058
Queso duro;Planeta rica;Riohacha;7;1058
Queso duro;Planeta rica;Riohacha;8;1058
Queso duro;Planeta rica;Riohacha;9;1058
Queso duro;Planeta rica;Riohacha;10;1058
Queso duro;Planeta rica;Riohacha;11;1058
Queso duro;Planeta rica;Riohacha;12;1058
Queso duro;Planeta rica;Monteria;1;60
Queso duro;Planeta rica;Monteria;2;60
Queso duro;Planeta rica;Monteria;3;60
Queso duro;Planeta rica;Monteria;4;60
Queso duro;Planeta rica;Monteria;5;60
Queso duro;Planeta rica;Monteria;6;60
Queso duro;Planeta rica;Monteria;7;60
Queso duro;Planeta rica;Monteria;8;60
Queso duro;Planeta rica;Monteria;9;60
Queso duro;Planeta rica;Monteria;10;60
Queso duro;Planeta rica;Monteria;11;60
Queso duro;Planeta rica;Monteria;12;60
Queso duro;Planeta rica;Barranquilla;1;621
Queso duro;Planeta rica;Barranquilla;2;621
Queso duro;Planeta rica;Barranquilla;3;621
Queso duro;Planeta rica;Barranquilla;4;621
Queso duro;Planeta rica;Barranquilla;5;621
Queso duro;Planeta rica;Barranquilla;6;621
Queso duro;Planeta rica;Barranquilla;7;621
Queso duro;Planeta rica;Barranquilla;8;621
Queso duro;Planeta rica;Barranquilla;9;621
Queso duro;Planeta rica;Barranquilla;10;621
Queso duro;Planeta rica;Barranquilla;11;621
Queso duro;Planeta rica;Barranquilla;12;621
Queso duro;Planeta rica;Bogotá;1;1312
Queso duro;Planeta rica;Bogotá;2;1312
Queso duro;Planeta rica;Bogotá;3;1312
Queso duro;Planeta rica;Bogotá;4;1312
Queso duro;Planeta rica;Bogotá;5;1312
Queso duro;Planeta rica;Bogotá;6;1312
Queso duro;Planeta rica;Bogotá;7;1312
Queso duro;Planeta rica;Bogotá;8;1312
Queso duro;Planeta rica;Bogotá;9;1312
Queso duro;Planeta rica;Bogotá;10;1312
Queso duro;Planeta rica;Bogotá;11;1312
Queso duro;Planeta rica;Bogotá;12;1312
Queso duro;Planeta rica;Bucaramanga;1;1139
Queso duro;Planeta rica;Bucaramanga;2;1139
Queso duro;Planeta rica;Bucaramanga;3;1139
Queso duro;Planeta rica;Bucaramanga;4;1139
Queso duro;Planeta rica;Bucaramanga;5;1139
Queso duro;Planeta rica;Bucaramanga;6;1139
Queso duro;Planeta rica;Bucaramanga;7;1139
Queso duro;Planeta rica;Bucaramanga;8;1139
Queso duro;Planeta rica;Bucaramanga;9;1139
Queso duro;Planeta rica;Bucaramanga;10;1139
Queso duro;Planeta rica;Bucaramanga;11;1139
Queso duro;Planeta rica;Bucaramanga;12;1139
Queso duro;Planeta rica;Cartagena;1;428
Queso duro;Planeta rica;Cartagena;2;428
Queso duro;Planeta rica;Cartagena;3;428
Queso duro;Planeta rica;Cartagena;4;428
Queso duro;Planeta rica;Cartagena;5;428
Queso duro;Planeta rica;Cartagena;6;428
Queso duro;Planeta rica;Cartagena;7;428
Queso duro;Planeta rica;Cartagena;8;428
Queso duro;Planeta rica;Cartagena;9;428
Queso duro;Planeta rica;Cartagena;10;428
Queso duro;Planeta rica;Cartagena;11;428
Queso duro;Planeta rica;Cartagena;12;428
Queso duro;Planeta rica;Cali;1;1417
Queso duro;Planeta rica;Cali;2;1417
Queso duro;Planeta rica;Cali;3;1417
Queso duro;Planeta rica;Cali;4;1417
Queso duro;Planeta rica;Cali;5;1417
Queso duro;Planeta rica;Cali;6;1417
Queso duro;Planeta rica;Cali;7;1417
Queso duro;Planeta rica;Cali;8;1417
Queso duro;Planeta rica;Cali;9;1417
Queso duro;Planeta rica;Cali;10;1417
Queso duro;Planeta rica;Cali;11;1417
Queso duro;Planeta rica;Cali;12;1417
Queso duro;Planeta rica;Cúcuta;1;1233
Queso duro;Planeta rica;Cúcuta;2;1233
Queso duro;Planeta rica;Cúcuta;3;1233
Queso duro;Planeta rica;Cúcuta;4;1233
Queso duro;Planeta rica;Cúcuta;5;1233
Queso duro;Planeta rica;Cúcuta;6;1233
Queso duro;Planeta rica;Cúcuta;7;1233
Queso duro;Planeta rica;Cúcuta;8;1233
Queso duro;Planeta rica;Cúcuta;9;1233
Queso duro;Planeta rica;Cúcuta;10;1233
Queso duro;Planeta rica;Cúcuta;11;1233
Queso duro;Planeta rica;Cúcuta;12;1233
Queso duro;Planeta rica;Medellín;1;707
Queso duro;Planeta rica;Medellín;2;707
Queso duro;Planeta rica;Medellín;3;707
Queso duro;Planeta rica;Medellín;4;707
Queso duro;Planeta rica;Medellín;5;707
Queso duro;Planeta rica;Medellín;6;707
Queso duro;Planeta rica;Medellín;7;707
Queso duro;Planeta rica;Medellín;8;707
Queso duro;Planeta rica;Medellín;9;707
Queso duro;Planeta rica;Medellín;10;707
Queso duro;Planeta rica;Medellín;11;707
Queso duro;Planeta rica;Medellín;12;707
Queso duro;Planeta rica;Valledupar;1;882
Queso duro;Planeta rica;Valledupar;2;882
Queso duro;Planeta rica;Valledupar;3;882
Queso duro;Planeta rica;Valledupar;4;882
Queso duro;Planeta rica;Valledupar;5;882
Queso duro;Planeta rica;Valledupar;6;882
Queso duro;Planeta rica;Valledupar;7;882
Queso duro;Planeta rica;Valledupar;8;882
Queso duro;Planeta rica;Valledupar;9;882
Queso duro;Planeta rica;Valledupar;10;882
Queso duro;Planeta rica;Valledupar;11;882
Queso duro;Planeta rica;Valledupar;12;882
Queso blando;Monteria;Santa Marta;1;773
Queso blando;Monteria;Santa Marta;2;773
Queso blando;Monteria;Santa Marta;3;773
Queso blando;Monteria;Santa Marta;4;773
Queso blando;Monteria;Santa Marta;5;773
Queso blando;Monteria;Santa Marta;6;773
Queso blando;Monteria;Santa Marta;7;773
Queso blando;Monteria;Santa Marta;8;773
Queso blando;Monteria;Santa Marta;9;773
Queso blando;Monteria;Santa Marta;10;773
Queso blando;Monteria;Santa Marta;11;773
Queso blando;Monteria;Santa Marta;12;773
Queso blando;Monteria;Riohacha;1;1060
Queso blando;Monteria;Riohacha;2;1060
Queso blando;Monteria;Riohacha;3;1060
Queso blando;Monteria;Riohacha;4;1060
Queso blando;Monteria;Riohacha;5;1060
Queso blando;Monteria;Riohacha;6;1060
Queso blando;Monteria;Riohacha;7;1060
Queso blando;Monteria;Riohacha;8;1060
Queso blando;Monteria;Riohacha;9;1060
Queso blando;Monteria;Riohacha;10;1060
Queso blando;Monteria;Riohacha;11;1060
Queso blando;Monteria;Riohacha;12;1060
Queso blando;Monteria;Monteria;1;156
Queso blando;Monteria;Monteria;2;156
Queso blando;Monteria;Monteria;3;156
Queso blando;Monteria;Monteria;4;156
Queso blando;Monteria;Monteria;5;156
Queso blando;Monteria;Monteria;6;156
Queso blando;Monteria;Monteria;7;156
Queso blando;Monteria;Monteria;8;156
Queso blando;Monteria;Monteria;9;156
Queso blando;Monteria;Monteria;10;156
Queso blando;Monteria;Monteria;11;156
Queso blando;Monteria;Monteria;12;156
Queso blando;Monteria;Barranquilla;1;623
Queso blando;Monteria;Barranquilla;2;623
Queso blando;Monteria;Barranquilla;3;623
Queso blando;Monteria;Barranquilla;4;623
Queso blando;Monteria;Barranquilla;5;623
Queso blando;Monteria;Barranquilla;6;623
Queso blando;Monteria;Barranquilla;7;623
Queso blando;Monteria;Barranquilla;8;623
Queso blando;Monteria;Barranquilla;9;623
Queso blando;Monteria;Barranquilla;10;623
Queso blando;Monteria;Barranquilla;11;623
Queso blando;Monteria;Barranquilla;12;623
Queso blando;Monteria;Bogotá;1;1225
Queso blando;Monteria;Bogotá;2;1225
Queso blando;Monteria;Bogotá;3;1225
Queso blando;Monteria;Bogotá;4;1225
Queso blando;Monteria;Bogotá;5;1225
Queso blando;Monteria;Bogotá;6;1225
Queso blando;Monteria;Bogotá;7;1225
Queso blando;Monteria;Bogotá;8;1225
Queso blando;Monteria;Bogotá;9;1225
Queso blando;Monteria;Bogotá;10;1225
Queso blando;Monteria;Bogotá;11;1225
Queso blando;Monteria;Bogotá;12;1225
Queso blando;Monteria;Bucaramanga;1;1004
Queso blando;Monteria;Bucaramanga;2;1004
Queso blando;Monteria;Bucaramanga;3;1004
Queso blando;Monteria;Bucaramanga;4;1004
Queso blando;Monteria;Bucaramanga;5;1004
Queso blando;Monteria;Bucaramanga;6;1004
Queso blando;Monteria;Bucaramanga;7;1004
Queso blando;Monteria;Bucaramanga;8;1004
Queso blando;Monteria;Bucaramanga;9;1004
Queso blando;Monteria;Bucaramanga;10;1004
Queso blando;Monteria;Bucaramanga;11;1004
Queso blando;Monteria;Bucaramanga;12;1004
Queso blando;Monteria;Cartagena;1;509
Queso blando;Monteria;Cartagena;2;509
Queso blando;Monteria;Cartagena;3;509
Queso blando;Monteria;Cartagena;4;509
Queso blando;Monteria;Cartagena;5;509
Queso blando;Monteria;Cartagena;6;509
Queso blando;Monteria;Cartagena;7;509
Queso blando;Monteria;Cartagena;8;509
Queso blando;Monteria;Cartagena;9;509
Queso blando;Monteria;Cartagena;10;509
Queso blando;Monteria;Cartagena;11;509
Queso blando;Monteria;Cartagena;12;509
Queso blando;Monteria;Cali;1;1328
Queso blando;Monteria;Cali;2;1328
Queso blando;Monteria;Cali;3;1328
Queso blando;Monteria;Cali;4;1328
Queso blando;Monteria;Cali;5;1328
Queso blando;Monteria;Cali;6;1328
Queso blando;Monteria;Cali;7;1328
Queso blando;Monteria;Cali;8;1328
Queso blando;Monteria;Cali;9;1328
Queso blando;Monteria;Cali;10;1328
Queso blando;Monteria;Cali;11;1328
Queso blando;Monteria;Cali;12;1328
Queso blando;Monteria;Cúcuta;1;1237
Queso blando;Monteria;Cúcuta;2;1237
Queso blando;Monteria;Cúcuta;3;1237
Queso blando;Monteria;Cúcuta;4;1237
Queso blando;Monteria;Cúcuta;5;1237
Queso blando;Monteria;Cúcuta;6;1237
Queso blando;Monteria;Cúcuta;7;1237
Queso blando;Monteria;Cúcuta;8;1237
Queso blando;Monteria;Cúcuta;9;1237
Queso blando;Monteria;Cúcuta;10;1237
Queso blando;Monteria;Cúcuta;11;1237
Queso blando;Monteria;Cúcuta;12;1237
Queso blando;Monteria;Medellín;1;617
Queso blando;Monteria;Medellín;2;617
Queso blando;Monteria;Medellín;3;617
Queso blando;Monteria;Medellín;4;617
Queso blando;Monteria;Medellín;5;617
Queso blando;Monteria;Medellín;6;617
Queso blando;Monteria;Medellín;7;617
Queso blando;Monteria;Medellín;8;617
Queso blando;Monteria;Medellín;9;617
Queso blando;Monteria;Medellín;10;617
Queso blando;Monteria;Medellín;11;617
Queso blando;Monteria;Medellín;12;617
Queso blando;Monteria;Valledupar;1;880
Queso blando;Monteria;Valledupar;2;880
Queso blando;Monteria;Valledupar;3;880
Queso blando;Monteria;Valledupar;4;880
Queso blando;Monteria;Valledupar;5;880
Queso blando;Monteria;Valledupar;6;880
Queso blando;Monteria;Valledupar;7;880
Queso blando;Monteria;Valledupar;8;880
Queso blando;Monteria;Valledupar;9;880
Queso blando;Monteria;Valledupar;10;880
Queso blando;Monteria;Valledupar;11;880
Queso blando;Monteria;Valledupar;12;880
Queso blando;Chinu;Santa Marta;1;612
Queso blando;Chinu;Santa Marta;2;612
Queso blando;Chinu;Santa Marta;3;612
Queso blando;Chinu;Santa Marta;4;612
Queso blando;Chinu;Santa Marta;5;612
Queso blando;Chinu;Santa Marta;6;612
Queso blando;Chinu;Santa Marta;7;612
Queso blando;Chinu;Santa Marta;8;612
Queso blando;Chinu;Santa Marta;9;612
Queso blando;Chinu;Santa Marta;10;612
Queso blando;Chinu;Santa Marta;11;612
Queso blando;Chinu;Santa Marta;12;612
Queso blando;Chinu;Riohacha;1;897
Queso blando;Chinu;Riohacha;2;897
Queso blando;Chinu;Riohacha;3;897
Queso blando;Chinu;Riohacha;4;897
Queso blando;Chinu;Riohacha;5;897
Queso blando;Chinu;Riohacha;6;897
Queso blando;Chinu;Riohacha;7;897
Queso blando;Chinu;Riohacha;8;897
Queso blando;Chinu;Riohacha;9;897
Queso blando;Chinu;Riohacha;10;897
Queso blando;Chinu;Riohacha;11;897
Queso blando;Chinu;Riohacha;12;897
Queso blando;Chinu;Monteria;1;218
Queso blando;Chinu;Monteria;2;218
Queso blando;Chinu;Monteria;3;218
Queso blando;Chinu;Monteria;4;218
Queso blando;Chinu;Monteria;5;218
Queso blando;Chinu;Monteria;6;218
Queso blando;Chinu;Monteria;7;218
Queso blando;Chinu;Monteria;8;218
Queso blando;Chinu;Monteria;9;218
Queso blando;Chinu;Monteria;10;218
Queso blando;Chinu;Monteria;11;218
Queso blando;Chinu;Monteria;12;218
Queso blando;Chinu;Barranquilla;1;462
Queso blando;Chinu;Barranquilla;2;462
Queso blando;Chinu;Barranquilla;3;462
Queso blando;Chinu;Barranquilla;4;462
Queso blando;Chinu;Barranquilla;5;462
Queso blando;Chinu;Barranquilla;6;462
Queso blando;Chinu;Barranquilla;7;462
Queso blando;Chinu;Barranquilla;8;462
Queso blando;Chinu;Barranquilla;9;462
Queso blando;Chinu;Barranquilla;10;462
Queso blando;Chinu;Barranquilla;11;462
Queso blando;Chinu;Barranquilla;12;462
Queso blando;Chinu;Bogotá;1;1380
Queso blando;Chinu;Bogotá;2;1380
Queso blando;Chinu;Bogotá;3;1380
Queso blando;Chinu;Bogotá;4;1380
Queso blando;Chinu;Bogotá;5;1380
Queso blando;Chinu;Bogotá;6;1380
Queso blando;Chinu;Bogotá;7;1380
Queso blando;Chinu;Bogotá;8;1380
Queso blando;Chinu;Bogotá;9;1380
Queso blando;Chinu;Bogotá;10;1380
Queso blando;Chinu;Bogotá;11;1380
Queso blando;Chinu;Bogotá;12;1380
Queso blando;Chinu;Bucaramanga;1;918
Queso blando;Chinu;Bucaramanga;2;918
Queso blando;Chinu;Bucaramanga;3;918
Queso blando;Chinu;Bucaramanga;4;918
Queso blando;Chinu;Bucaramanga;5;918
Queso blando;Chinu;Bucaramanga;6;918
Queso blando;Chinu;Bucaramanga;7;918
Queso blando;Chinu;Bucaramanga;8;918
Queso blando;Chinu;Bucaramanga;9;918
Queso blando;Chinu;Bucaramanga;10;918
Queso blando;Chinu;Bucaramanga;11;918
Queso blando;Chinu;Bucaramanga;12;918
Queso blando;Chinu;Cartagena;1;346
Queso blando;Chinu;Cartagena;2;346
Queso blando;Chinu;Cartagena;3;346
Queso blando;Chinu;Cartagena;4;346
Queso blando;Chinu;Cartagena;5;346
Queso blando;Chinu;Cartagena;6;346
Queso blando;Chinu;Cartagena;7;346
Queso blando;Chinu;Cartagena;8;346
Queso blando;Chinu;Cartagena;9;346
Queso blando;Chinu;Cartagena;10;346
Queso blando;Chinu;Cartagena;11;346
Queso blando;Chinu;Cartagena;12;346
Queso blando;Chinu;Cali;1;1485
Queso blando;Chinu;Cali;2;1485
Queso blando;Chinu;Cali;3;1485
Queso blando;Chinu;Cali;4;1485
Queso blando;Chinu;Cali;5;1485
Queso blando;Chinu;Cali;6;1485
Queso blando;Chinu;Cali;7;1485
Queso blando;Chinu;Cali;8;1485
Queso blando;Chinu;Cali;9;1485
Queso blando;Chinu;Cali;10;1485
Queso blando;Chinu;Cali;11;1485
Queso blando;Chinu;Cali;12;1485
Queso blando;Chinu;Cúcuta;1;1076
Queso blando;Chinu;Cúcuta;2;1076
Queso blando;Chinu;Cúcuta;3;1076
Queso blando;Chinu;Cúcuta;4;1076
Queso blando;Chinu;Cúcuta;5;1076
Queso blando;Chinu;Cúcuta;6;1076
Queso blando;Chinu;Cúcuta;7;1076
Queso blando;Chinu;Cúcuta;8;1076
Queso blando;Chinu;Cúcuta;9;1076
Queso blando;Chinu;Cúcuta;10;1076
Queso blando;Chinu;Cúcuta;11;1076
